Interval = 1 sec,,,,,,,,,,,
SEQ,TEMPERATURE(0.01 degreeC),HUMIDITY(0.01), AMBIENT LIGHT, BAROMETRIC PRESSURE, SOUND NOISE, eTVOC,eCO2, FLAGnotburn,FLAGburn, FLAGnotburn,FLAGburn
141,2609,6671,56,998719,8074,75,895,1,0,1,0
142,2607,6684,56,998721,8113,73,885,1,0,1,0
143,2608,6686,61,998723,8044,73,885,1,0,1,0
144,2611,6684,54,998721,8167,70,863,1,0,1,0
145,2611,6687,56,998722,8010,70,863,1,0,1,0
146,2613,6688,56,998721,8080,70,863,1,0,1,0
147,2612,6693,56,998719,7958,72,877,1,0,1,0
148,2613,6694,61,998722,8143,72,877,1,0,1,0
149,2615,6689,63,998721,7983,72,877,1,0,1,0
150,2617,6685,65,998726,8066,70,863,1,0,1,0
151,2619,6684,65,998728,8058,70,863,1,0,1,0
152,2618,6687,70,998727,8072,70,863,1,0,1,0
153,2618,6695,72,998729,8072,70,863,1,0,1,0
154,2618,6705,67,998729,8087,74,887,1,0,1,0
155,2620,6709,72,998730,8064,72,877,1,0,1,0
156,2624,6707,74,998725,7982,72,877,1,0,1,0
157,2625,6704,81,998722,8148,72,877,1,0,1,0
158,2624,6698,79,998722,8340,72,877,1,0,1,0
159,2627,6679,83,998724,8134,62,810,1,0,1,0
160,2627,6669,85,998725,8316,72,877,1,0,1,0
161,2630,6652,85,998726,8319,63,817,1,0,1,0
162,2632,6641,88,998728,8035,65,827,1,0,1,0
163,2633,6633,74,998724,8436,65,827,1,0,1,0
164,2635,6626,79,998721,7948,65,827,1,0,1,0
165,2636,6621,83,998720,8112,66,836,1,0,1,0
166,2640,6610,85,998721,7963,66,836,1,0,1,0
167,2641,6607,88,998722,7981,66,836,1,0,1,0
168,2641,6606,85,998721,8390,67,846,1,0,1,0
169,2641,6604,88,998720,8208,69,857,1,0,1,0
170,2640,6603,88,998715,8112,67,846,1,0,1,0
171,2640,6598,88,998717,8280,67,846,1,0,1,0
172,2644,6584,88,998718,8261,69,857,1,0,1,0
173,2647,6573,88,998720,7959,69,857,1,0,1,0
174,2651,6559,88,998720,8077,71,870,1,0,1,0
175,2652,6550,85,998719,8112,71,868,1,0,1,0
176,2652,6546,92,998718,9236,72,877,1,0,1,0
177,2653,6537,92,998717,8096,72,877,1,0,1,0
178,2652,6535,94,998714,8013,72,877,1,0,1,0
179,2655,6523,92,998711,8004,74,887,1,0,1,0
180,2658,6511,94,998709,8095,72,877,1,0,1,0
181,2655,6517,94,998714,8191,75,895,1,0,1,0
182,2654,6517,85,998717,8256,76,905,1,0,1,0
183,2653,6519,81,998716,8112,75,895,1,0,1,0
184,2653,6520,22,998711,8174,76,905,1,0,1,0
185,2657,6512,33,998716,8301,76,905,1,0,1,0
186,2659,6506,83,998714,8162,76,905,1,0,1,0
187,2659,6508,88,998710,8280,78,918,1,0,1,0
188,2659,6509,90,998713,8185,78,918,1,0,1,0
189,2660,6504,92,998714,8178,80,927,1,0,1,0
190,2661,6503,90,998716,8084,80,927,1,0,1,0
191,2661,6502,88,998718,8100,80,927,1,0,1,0
192,2663,6492,92,998719,8134,82,940,1,0,1,0
193,2662,6491,94,998717,8031,85,959,1,0,1,0
194,2662,6488,94,998714,8176,82,940,1,0,1,0
195,2663,6478,94,998710,8005,86,970,1,0,1,0
196,2661,6476,94,998712,8184,86,970,1,0,1,0
197,2660,6471,97,998706,8249,90,992,1,0,1,0
198,2661,6459,97,998705,8192,92,1004,1,0,1,0
199,2661,6451,97,998708,8140,92,1004,1,0,1,0
200,2664,6441,90,998706,8034,90,992,1,0,1,0
201,2667,6431,81,998706,8047,93,1017,1,0,1,0
202,2666,6431,81,998704,8246,92,1004,1,0,1,0
203,2666,6430,90,998703,8304,96,1035,1,0,1,0
204,2667,6432,97,998704,8034,93,1017,1,0,1,0
205,2668,6434,97,998708,8221,96,1035,1,0,1,0
